"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Login with registered or correct email and password","SUCCESS","2023-05-09T18:56:11.517538+07:00[Asia/Jakarta]","0.0","0.49"
"Authentication","view user information","SUCCESS","2023-05-09T18:56:12.221655+07:00[Asia/Jakarta]","0.0","0.61"
"Products","GET Product by id","SUCCESS","2023-05-09T18:56:15.0690373+07:00[Asia/Jakarta]","0.0","0.4"
"Products","Add new product","SUCCESS","2023-05-09T18:56:15.5667269+07:00[Asia/Jakarta]","0.0","0.88"
"Products","DELETE Product","SUCCESS","2023-05-09T18:56:16.5161667+07:00[Asia/Jakarta]","0.0","0.45"
"Products","GET products rating","SUCCESS","2023-05-09T18:56:17.0946214+07:00[Asia/Jakarta]","0.0","0.7"
"Products","POST As admin I have be able to create new products rating","SUCCESS","2023-05-09T18:56:17.8256643+07:00[Asia/Jakarta]","0.0","0.4"
"Products","GET products comment","SUCCESS","2023-05-09T18:56:18.2565131+07:00[Asia/Jakarta]","0.0","0.57"
"Products","POST As admin I have be able to create new products comment","SUCCESS","2023-05-09T18:56:19.0493923+07:00[Asia/Jakarta]","0.0","0.58"
"order","GET All Order","SUCCESS","2023-05-09T18:56:19.6627503+07:00[Asia/Jakarta]","0.0","0.28"
"order","POST As admin I have be able to create new order","SUCCESS","2023-05-09T18:56:19.9699302+07:00[Asia/Jakarta]","0.0","0.25"
"order","GET As an admin I have be able to get id order","SUCCESS","2023-05-09T18:56:20.2443022+07:00[Asia/Jakarta]","0.0","0.29"
"category","GET  list of category","SUCCESS","2023-05-09T18:56:20.5883791+07:00[Asia/Jakarta]","0.0","0.34"
"category","POST As an admin I have be able to create new product category","SUCCESS","2023-05-09T18:56:21.016236+07:00[Asia/Jakarta]","0.0","0.35"
"category","GET id product category","FAILURE","2023-05-09T18:56:21.4241434+07:00[Asia/Jakarta]","0.0","0.51"
"category","DELETE category","SUCCESS","2023-05-09T18:56:22.026773+07:00[Asia/Jakarta]","0.0","0.49"
